Trained Samples, Block Average Training Error
88750,0.088511606
89000,0.10680649
89250,0.164580763
89500,0.029514211
89750,0.041855594
90000,0.171985707
90250,0.179983697
90500,0.088897636
90750,0.075093736
91000,0.137453222
91250,0.164393322
91500,0.109428078
91750,0.144070609
92000,0.082685152
92250,0.092560994
92500,0.193589577
92750,0.112956535
93000,0.106812167
93250,0.071227252
93500,0.125795955
93750,0.058923614
94000,0.082702078
94250,0.09028588
94500,0.080081785
94750,0.139812542
95000,0.194146239
95250,0.110011439
95500,0.099968067
95750,0.066789607
96000,0.101258831
96250,0.166117969
96500,0.054680064
96750,0.075610278
97000,0.067843998
97250,0.19918926
97500,0.059786979
97750,0.128414424
98000,0.152259424
98250,0.123119931
98500,0.149427495
98750,0.108367485
99000,0.049909131
99250,0.057133437
99500,0.120566928
99750,0.090646976
100000,0.126504532
100250,0.091130039
100500,0.119735435
100750,0.044718631
101000,0.050317232
101250,0.090186679
101500,0.167638043
101750,0.101792214
102000,0.093038507
102250,0.075733939
102500,0.083501914
102750,0.153256126
103000,0.164985043
103250,0.122682549
103500,0.129429524
103750,0.152258056
104000,0.0426305
104250,0.103826945
104500,0.149599436
104750,0.063916327
105000,0.10772149
105250,0.129126369
105500,0.050948446
105750,0.11244951
106000,0.210727431
106250,0.11301789
106500,0.15046471
106750,0.123049759
107000,0.096200472
107250,0.089177187
107500,0.153943645
107750,0.088245289
108000,0.091329226
108250,0.082109374
108500,0.149674866
108750,0.069626978
109000,0.160440713
109250,0.11489763
109500,0.083129627
109750,0.151166605
110000,0.10526336
110250,0.104343398
110500,0.151156875
110750,0.106087625
111000,0.057027503
111250,0.051083197
111500,0.053650784
111750,0.069998386
112000,0.119691846
112250,0.130464571
112500,0.102489633
112750,0.09118205
113000,0.129165544
113250,0.093249813
113500,0.076870206
113750,0.065692882
114000,0.126536897
114250,0.113908588
114500,0.070603559
114750,0.117915433
115000,0.183936892
115250,0.077337377
115500,0.093642916
115750,0.085527799
116000,0.090921475
116250,0.077743736
116500,0.105082317
116750,0.096580301
117000,0.132878946
117250,0.048329404
117500,0.084477357
117750,0.136791674
118000,0.054473893
118250,0.129978994
118500,0.037385939
118750,0.088500277
119000,0.069123433
119250,0.042049551
119500,0.077803691
119750,0.197707407
120000,0.153569353
120250,0.081183579
120500,0.080162081
120750,0.050707561
121000,0.123114437
121250,0.058612916
121500,0.039379222
121750,0.053349082
122000,0.092932201
122250,0.069205451
122500,0.146502568
122750,0.126903638
123000,0.129793116
123250,0.157776859
123500,0.050835567
123750,0.070680491
124000,0.05536174
124250,0.041820126
124500,0.1000895
124750,0.063518761
125000,0.114863522
125250,0.165199445
125500,0.07874543
125750,0.056242179
126000,0.056680065
126250,0.166508661
126500,0.144994403
126750,0.094835804
