Epoch, Training Set, Test Set, Test Correct
1, 0.29502277222499723, 0.12546926272131922, 96.09%
2, 0.11703703956661615, 0.09620821119284492, 97.02%
3, 0.09480190193522595, 0.0794239820123796, 97.47%
4, 0.08234633100387834, 0.076880334430433, 97.5%
5, 0.07437517947211839, 0.07668567201826897, 97.63%
6, 0.07108337710154944, 0.07290980489091405, 97.57000000000001%
7, 0.06934322251737497, 0.07686356823274063, 97.46000000000001%
8, 0.06621220996177658, 0.07403841827127917, 97.58%
