Epoch, Training Set, Test Set, Test Correct
1, 0.3060166796780596, 0.129631497305635, 96.08%
2, 0.12082247809327884, 0.08922178259734191, 97.52%
3, 0.11222070261071787, 0.10180375818222896, 96.83%
4, 0.11288793493031621, 0.10442262607138332, 97.00999999999999%
5, 0.1118773665483222, 0.1197198429508685, 96.39999999999999%
6, 0.11874037431124969, 0.10251883951837512, 96.89999999999999%
7, 0.13032772733176345, 0.12425494114216665, 96.3%
