Epoch, Training Set, Test Set, Test Correct
1, 0.17131176215331834, 0.12473206027263141, 96.15%
2, 0.10503355128724277, 0.10466529821843619, 96.89%
3, 0.09401225683207375, 0.11478477658546869, 96.46000000000001%
4, 0.0867691568674982, 0.11456111122648413, 96.55%
5, 0.08163459017780814, 0.10572073724363802, 97.2%
6, 0.08058998140121046, 0.10753748401044745, 97.00999999999999%
7, 0.07677456647137545, 0.10194717177804567, 97.23%
8, 0.07440042872053837, 0.1130242773335625, 97.13000000000001%
9, 0.06974420057696941, 0.13129270180187946, 96.84%
