Epoch, Training Set, Test Set, Test Correct
1, 0.17305295936338957, 0.09962236833376693, 96.67999999999999%
2, 0.09428965629803862, 0.07357400710122469, 97.75%
3, 0.08165382651901984, 0.0586537765604556, 98.16%
4, 0.0771342676228896, 0.08628136615592615, 97.19%
5, 0.07106462989171779, 0.07653148307591165, 97.7%
6, 0.07164629629980139, 0.0991656772891389, 97.17%
7, 0.071812573910816, 0.09013398823452112, 97.16%
