Trained Samples, Block Average Training Error
88750,0.135355687
89000,0.110862181
89250,0.22278488
89500,0.101694962
89750,0.126756617
90000,0.107417017
90250,0.163470203
90500,0.063644469
90750,0.147637137
91000,0.101732566
91250,0.116235527
91500,0.193410837
91750,0.145958907
92000,0.124567088
92250,0.07908179
92500,0.129796648
92750,0.080712661
93000,0.106858112
93250,0.093583367
93500,0.114083468
93750,0.039607548
94000,0.120109646
94250,0.158823106
94500,0.124715566
94750,0.125553441
95000,0.162079013
95250,0.133412386
95500,0.078786413
95750,0.116793235
96000,0.087625611
96250,0.101605918
96500,0.160660447
96750,0.065888618
97000,0.104275144
97250,0.195827537
97500,0.151956025
97750,0.12187293
98000,0.083563889
98250,0.083606445
98500,0.170496616
98750,0.153485245
99000,0.087691214
99250,0.052764891
99500,0.255062737
99750,0.126963475
100000,0.041026683
100250,0.093950148
100500,0.095347245
100750,0.132249725
101000,0.123262522
101250,0.108879814
101500,0.201522343
101750,0.078120348
102000,0.136339309
102250,0.076446833
102500,0.099430646
102750,0.161154455
103000,0.166924442
103250,0.135330407
103500,0.103325345
103750,0.097752769
104000,0.122190725
104250,0.114261645
104500,0.101922634
104750,0.055656466
105000,0.109755882
105250,0.143633199
105500,0.098141746
105750,0.214371179
106000,0.150554442
106250,0.134124485
106500,0.119343623
106750,0.146575625
107000,0.093391211
107250,0.212840381
107500,0.117970485
107750,0.109175998
108000,0.092406286
108250,0.091488514
108500,0.098527002
108750,0.056530175
109000,0.1797743
109250,0.19401963
109500,0.080279615
109750,0.153536623
110000,0.121698182
110250,0.142122262
110500,0.125336705
110750,0.154463815
111000,0.095810887
111250,0.088929593
111500,0.088766186
111750,0.090811966
112000,0.128464955
112250,0.154641703
112500,0.08236023
112750,0.096346582
113000,0.165036295
113250,0.079942148
113500,0.08182744
113750,0.126163068
114000,0.104349927
114250,0.147745299
114500,0.065797476
114750,0.12878743
115000,0.14360832
115250,0.059282724
115500,0.125935156
115750,0.125371003
116000,0.151840327
116250,0.064036321
116500,0.127178003
116750,0.112316585
117000,0.118741608
117250,0.140722868
117500,0.094756793
117750,0.112339672
118000,0.113934534
118250,0.09603082
118500,0.047506949
118750,0.08114535
119000,0.064737517
119250,0.029619038
119500,0.071392279
119750,0.090006459
120000,0.1597586
120250,0.105028489
120500,0.053504025
120750,0.070355247
121000,0.105716777
121250,0.163566771
121500,0.145523157
121750,0.21305373
122000,0.111348416
122250,0.108263195
122500,0.152499276
122750,0.101489034
123000,0.130058076
123250,0.097643139
123500,0.110896061
123750,0.156308873
124000,0.135075685
124250,0.142171708
124500,0.064362074
124750,0.07958225
125000,0.062568697
125250,0.119291962
125500,0.150171668
125750,0.116665969
126000,0.146435705
126250,0.078202798
126500,0.073661771
126750,0.077721619
127000,0.123527178
127250,0.144179906
127500,0.096421364
127750,0.095547228
128000,0.126935445
128250,0.120730131
128500,0.113138868
128750,0.101111836
129000,0.104469709
129250,0.100951224
129500,0.16660211
129750,0.137214115
130000,0.083619864
130250,0.112735199
130500,0.087821132
130750,0.11258418
131000,0.110802424
131250,0.104494317
131500,0.054338005
131750,0.110106787
132000,0.082998566
132250,0.053884146
132500,0.129885784
132750,0.171231334
133000,0.16294675
133250,0.090410123
133500,0.109428648
133750,0.0867729
134000,0.085531309
134250,0.122535862
134500,0.034181261
134750,0.208216196
135000,0.111504029
135250,0.128344162
135500,0.146843832
135750,0.113246661
136000,0.163790223
136250,0.142145996
136500,0.133160373
136750,0.11936335
137000,0.244205714
137250,0.116491206
137500,0.094370389
137750,0.160166001
138000,0.071952226
138250,0.056692342
138500,0.088520315
138750,0.122448315
139000,0.090597369
139250,0.108742763
139500,0.09689007
139750,0.089003891
140000,0.116821069
140250,0.105565199
140500,0.07197765
140750,0.12207383
141000,0.177374605
141250,0.09532678
141500,0.081444094
141750,0.115362028
142000,0.08151694
142250,0.057538066
142500,0.120614889
142750,0.185163863
143000,0.050415485
143250,0.131445497
143500,0.080402371
143750,0.070823168
144000,0.118681697
144250,0.21472091
144500,0.174719757
144750,0.084951731
145000,0.080667749
145250,0.068974282
145500,0.061276058
145750,0.123993784
146000,0.167021006
146250,0.067034318
146500,0.14468991
146750,0.214459275
147000,0.126266802
147250,0.097530271
147500,0.107468658
147750,0.111003289
148000,0.079618791
148250,0.043887924
148500,0.108954989
148750,0.099177787
149000,0.106948777
149250,0.128186992
149500,0.14746857
149750,0.173645129
150000,0.065587336
150250,0.094815409
150500,0.042445748
150750,0.15188269
151000,0.159357956
151250,0.134671558
151500,0.074062999
151750,0.146054632
152000,0.070935776
152250,0.125606637
152500,0.089704283
152750,0.077218913
153000,0.129512834
153250,0.158347093
153500,0.07939237
153750,0.050195568
154000,0.111640137
154250,0.144679699
154500,0.070823892
154750,0.107464994
155000,0.12911142
155250,0.103232754
155500,0.050740624
155750,0.121756977
156000,0.117315385
156250,0.129863288
156500,0.084881532
156750,0.110795915
157000,0.079912161
157250,0.128176508
157500,0.178819067
157750,0.16462733
158000,0.087186389
158250,0.109875583
158500,0.167934914
158750,0.139147327
159000,0.096451538
159250,0.045004461
159500,0.121487538
159750,0.132414639
160000,0.063947956
160250,0.137656378
160500,0.118839886
160750,0.191508356
161000,0.067446114
161250,0.08525528
161500,0.140534651
161750,0.125830724
162000,0.113331822
162250,0.092387804
162500,0.131704721
162750,0.207415713
163000,0.106510169
163250,0.115958638
163500,0.06805259
163750,0.052730989
164000,0.088815651
164250,0.156616645
164500,0.160228559
164750,0.091901031
165000,0.075672158
165250,0.102019999
165500,0.097732832
165750,0.157246269
166000,0.148420988
166250,0.113115359
166500,0.134461278
166750,0.14425696
167000,0.061073472
167250,0.113750007
167500,0.09944139
167750,0.10144294
168000,0.10313381
168250,0.109564679
168500,0.063664962
168750,0.108724837
169000,0.145974144
169250,0.162183255
169500,0.089156198
169750,0.211230462
170000,0.174585104
170250,0.134626746
170500,0.169376976
170750,0.109901961
171000,0.083515817
171250,0.084759895
171500,0.130581477
171750,0.137285754
172000,0.105161711
172250,0.094262699
172500,0.13056897
172750,0.061372733
173000,0.093792412
173250,0.030872417
173500,0.072668728
173750,0.097401892
174000,0.078403015
174250,0.159065051
174500,0.126331682
174750,0.172979341
175000,0.124106456
175250,0.080712952
175500,0.090665786
175750,0.138436604
176000,0.157156892
176250,0.067174471
176500,0.082497587
176750,0.152560027
177000,0.106836914
177250,0.088882606
177500,0.08670786
