Epoch, Training Set, Test Set, Test Correct
1, 0.2944559380030546, 0.1264252727372268, 95.88%
2, 0.14222122528745407, 0.12487266060953814, 95.98%
3, 0.13112876474821603, 0.11933470893748555, 95.99%
4, 0.12639018917753564, 0.10764515289925361, 96.8%
