Epoch, Training Set, Test Set, Test Correct
1, 0.15601694785907888, 0.09121788070483575, 97.17%
2, 0.08587620617114615, 0.079105870333868, 97.46000000000001%
3, 0.07249636656477426, 0.0684654831476671, 97.86%
4, 0.06521764875560648, 0.07535758219537515, 97.72%
5, 0.06001730587933069, 0.06556946262555231, 97.91%
6, 0.055533521769531066, 0.06440483760948508, 98.09%
7, 0.053290148480904645, 0.0766283405487496, 97.8%
8, 0.05291908417039094, 0.06838304754814362, 97.92999999999999%
9, 0.050290686740731325, 0.08319035523232898, 97.61%
