Trained Samples, Block Average Training Error
33250,0.202726802
33500,0.155171231
33750,0.111972657
34000,0.11011574
34250,0.126915116
34500,0.167051174
34750,0.214743577
35000,0.202382485
35250,0.16152454
35500,0.174329697
35750,0.130459854
36000,0.136967007
36250,0.145792955
36500,0.138339362
36750,0.196179107
37000,0.156982369
37250,0.2070583
37500,0.199065863
37750,0.194460319
38000,0.221248865
38250,0.104206141
38500,0.148890382
38750,0.207500963
39000,0.128815824
39250,0.128468437
39500,0.288258209
39750,0.136944416
40000,0.155995959
40250,0.144294866
40500,0.168302567
40750,0.222172667
41000,0.128493734
41250,0.199628815
41500,0.221805366
41750,0.14981464
42000,0.149261759
42250,0.175171971
42500,0.21051298
42750,0.208140188
43000,0.23437488
43250,0.184502188
43500,0.089277825
43750,0.133140691
44000,0.114421194
44250,0.150922734
44500,0.184124559
44750,0.091494435
45000,0.177421193
45250,0.17145868
45500,0.126225699
45750,0.212496023
46000,0.235267618
46250,0.176030336
46500,0.315210313
46750,0.105366641
47000,0.109280091
47250,0.223759834
47500,0.233568952
47750,0.151243064
48000,0.155909708
48250,0.103422109
48500,0.135587639
48750,0.155670206
49000,0.192222229
49250,0.250454757
49500,0.130226234
49750,0.203651725
50000,0.127804277
50250,0.187443549
50500,0.20403852
50750,0.173705862
51000,0.107141729
51250,0.149724195
51500,0.065367397
51750,0.090016144
52000,0.146620946
52250,0.200252697
52500,0.081172141
52750,0.120927359
53000,0.22724492
53250,0.14442581
53500,0.069282153
53750,0.212312376
54000,0.190402295
54250,0.088815254
54500,0.105691458
54750,0.104582832
55000,0.129454219
55250,0.099972579
55500,0.16661394
55750,0.14625905
56000,0.158212571
56250,0.162451816
56500,0.136576221
56750,0.119023113
57000,0.120841683
57250,0.074505087
57500,0.109011541
57750,0.17420586
58000,0.118277985
58250,0.066474777
58500,0.08613693
58750,0.03378473
59000,0.070843939
59250,0.012296977
59500,0.075713474
59750,0.131260516
60000,0.114227214
60250,0.138179128
60500,0.118282707
60750,0.171144053
61000,0.196377215
61250,0.18238946
61500,0.133216241
61750,0.134008227
62000,0.102378219
62250,0.09970129
62500,0.091984215
62750,0.076894111
63000,0.11984077
63250,0.141066986
63500,0.078485888
63750,0.136014796
64000,0.142031291
64250,0.127514141
64500,0.106177846
64750,0.15261311
65000,0.118021813
65250,0.174116469
65500,0.124739805
65750,0.196926275
66000,0.167397193
66250,0.070405901
66500,0.150838403
66750,0.217032243
67000,0.129333681
67250,0.163299921
67500,0.12175568
67750,0.114727738
68000,0.162897912
68250,0.131852577
68500,0.123266168
68750,0.191389922
69000,0.201674653
69250,0.122063608
69500,0.186841469
69750,0.103745573
70000,0.091904157
70250,0.189140375
70500,0.150425949
70750,0.095055556
71000,0.142688596
71250,0.141217909
71500,0.093919072
71750,0.12697161
72000,0.101953166
72250,0.178280463
72500,0.151395868
72750,0.29095062
73000,0.155214457
73250,0.211116857
73500,0.129224112
73750,0.253190366
74000,0.136849598
74250,0.139538702
74500,0.139201148
74750,0.202864566
75000,0.122311723
75250,0.150643796
75500,0.196684667
75750,0.131472196
76000,0.168621763
76250,0.140771422
76500,0.138218115
76750,0.131960118
77000,0.113864039
77250,0.182960599
77500,0.124151855
77750,0.126257604
78000,0.18362888
78250,0.126468034
78500,0.102096341
78750,0.144609836
79000,0.082216477
79250,0.14149008
79500,0.14946623
79750,0.1118534
80000,0.177377821
80250,0.212143007
80500,0.140135163
80750,0.165822018
81000,0.178594095
81250,0.083851783
81500,0.161075796
81750,0.158560341
82000,0.163941315
82250,0.177567212
82500,0.093835215
82750,0.164425691
83000,0.117823165
83250,0.113273077
83500,0.122940974
83750,0.13382005
84000,0.163478756
84250,0.074949405
84500,0.100680142
84750,0.149087178
85000,0.207035795
85250,0.139024101
85500,0.128584984
85750,0.099280159
86000,0.143438161
86250,0.111322735
86500,0.150614671
86750,0.269933035
87000,0.117721536
87250,0.148050745
87500,0.090846723
87750,0.129444054
88000,0.095734869
88250,0.141958105
88500,0.154115218
88750,0.239513859
89000,0.130343103
89250,0.159585743
89500,0.175269699
89750,0.187472613
90000,0.156200284
90250,0.112011999
90500,0.07994325
90750,0.16793018
91000,0.171330775
91250,0.17364465
91500,0.159716813
91750,0.169804445
92000,0.139283925
92250,0.13721858
92500,0.155355201
92750,0.109166144
93000,0.172251552
93250,0.155989885
93500,0.152842346
93750,0.072703408
94000,0.112102886
94250,0.128290186
94500,0.141184226
94750,0.159158658
95000,0.184781374
95250,0.096629172
95500,0.206514373
95750,0.099482578
96000,0.109709657
96250,0.100838007
96500,0.172075657
96750,0.128326113
97000,0.112583435
97250,0.225760398
97500,0.141654163
97750,0.123595582
98000,0.148674937
98250,0.119244279
98500,0.06994662
98750,0.150091093
99000,0.137872463
99250,0.139792602
99500,0.222367447
