Trained Samples, Block Average Training Error
88750,0.125236322
89000,0.103184657
89250,0.141862238
89500,0.139674968
89750,0.044370292
90000,0.060636503
90250,0.039475888
90500,0.031103451
90750,0.080620925
91000,0.164893035
91250,0.062849777
91500,0.168295406
91750,0.132158959
92000,0.053974921
92250,0.11661042
92500,0.122442349
92750,0.045971602
93000,0.074339905
93250,0.049282899
93500,0.097025357
93750,0.023285276
94000,0.086085225
94250,0.038367392
94500,0.066155532
94750,0.139145548
95000,0.14524099
95250,0.04310529
95500,0.076285042
95750,0.116914791
96000,0.070428782
96250,0.071447346
96500,0.060366042
96750,0.105352197
97000,0.074032599
97250,0.109926806
97500,0.077953025
97750,0.128679766
98000,0.08274738
98250,0.073879762
98500,0.099996151
98750,0.164473442
99000,0.051678088
99250,0.091397745
99500,0.100289296
99750,0.141609749
100000,0.130456191
100250,0.093547338
100500,0.112265644
100750,0.04452594
101000,0.087846576
101250,0.067453628
101500,0.158303564
101750,0.070530255
102000,0.157533941
102250,0.078710576
102500,0.068193255
102750,0.119581613
103000,0.150696147
103250,0.122654781
103500,0.046740529
103750,0.081310731
104000,0.07281475
104250,0.093138644
104500,0.160390949
104750,0.061197218
105000,0.045820653
105250,0.054706894
105500,0.037761751
105750,0.103480958
106000,0.112805836
106250,0.121010581
106500,0.088264548
106750,0.188418296
107000,0.047904788
107250,0.155276436
107500,0.124458936
107750,0.104762378
108000,0.089335466
108250,0.045741147
108500,0.086464442
108750,0.064561027
109000,0.137885486
109250,0.133139021
109500,0.080616909
109750,0.173723549
110000,0.11630854
110250,0.102567352
110500,0.098076468
110750,0.081306223
111000,0.067665108
111250,0.063567469
111500,0.029806238
111750,0.049806936
112000,0.039722491
112250,0.134246358
112500,0.118267044
112750,0.080075295
113000,0.163082985
113250,0.093563544
113500,0.127332583
113750,0.100814375
114000,0.091757023
114250,0.096729687
114500,0.083471208
114750,0.067643158
115000,0.10057958
115250,0.033122389
115500,0.23031835
115750,0.1117216
116000,0.086450965
116250,0.018568274
116500,0.05288332
116750,0.052558937
117000,0.063075703
117250,0.042350023
117500,0.075227496
117750,0.070514067
118000,0.105590879
118250,0.089349195
118500,0.068851417
118750,0.031046624
119000,0.041269097
119250,0.052233478
119500,0.137103064
119750,0.187580871
120000,0.0472726
120250,0.090442701
120500,0.097632059
120750,0.046698069
121000,0.107958
121250,0.072381707
121500,0.121596787
121750,0.094385662
122000,0.043584066
122250,0.036995893
122500,0.129571938
122750,0.090693194
123000,0.071541182
123250,0.094586437
123500,0.054717012
123750,0.049941804
124000,0.056163818
124250,0.070374379
124500,0.070523343
124750,0.045974262
125000,0.094287732
125250,0.124764278
125500,0.147908324
125750,0.07285003
126000,0.069941969
126250,0.046594956
126500,0.07482772
126750,0.15792077
127000,0.063691155
127250,0.056219075
127500,0.069527045
127750,0.073996448
128000,0.122319605
128250,0.101612863
128500,0.094897757
128750,0.122899778
129000,0.08578549
129250,0.022428349
129500,0.115848298
129750,0.073976251
130000,0.073583609
130250,0.099643206
130500,0.063820458
130750,0.152296245
131000,0.069279162
131250,0.040726244
131500,0.029927306
131750,0.140704644
132000,0.133518989
132250,0.114700322
132500,0.125866141
132750,0.131745571
133000,0.049728898
133250,0.07898439
133500,0.03225078
133750,0.064350742
134000,0.096403228
134250,0.043547775
134500,0.071721615
134750,0.070913987
135000,0.054213595
135250,0.078606781
135500,0.084572298
135750,0.063830328
136000,0.159097704
136250,0.070741335
136500,0.089224172
136750,0.100625111
137000,0.053255912
137250,0.098254975
137500,0.073225455
137750,0.132058134
138000,0.093899062
138250,0.067047889
138500,0.128853533
138750,0.177520966
139000,0.058177966
139250,0.06244209
139500,0.054206789
139750,0.02700382
140000,0.107296604
140250,0.060053283
140500,0.040620714
140750,0.088101773
141000,0.152687095
141250,0.068963651
141500,0.139975095
141750,0.101841082
142000,0.077953798
142250,0.088369095
142500,0.0473765
142750,0.071774952
143000,0.052165663
143250,0.094925509
143500,0.02182806
143750,0.057913716
144000,0.058601438
144250,0.043436515
144500,0.098227484
144750,0.145732291
145000,0.097658106
145250,0.115206355
145500,0.07186957
145750,0.107478989
146000,0.066801952
146250,0.074133956
146500,0.076275871
146750,0.097931381
147000,0.078488009
147250,0.069302189
147500,0.116150089
147750,0.057291826
148000,0.043216894
148250,0.058939303
148500,0.07203878
148750,0.102873786
149000,0.123342704
149250,0.129485538
149500,0.108706141
149750,0.090184296
150000,0.046046948
150250,0.026096204
150500,0.065383665
150750,0.068494932
151000,0.148037114
151250,0.076064405
151500,0.151051806
151750,0.032961779
152000,0.05965127
152250,0.041827478
152500,0.149591322
152750,0.057726287
153000,0.053323215
153250,0.033822318
153500,0.113882576
153750,0.021024283
154000,0.051970355
154250,0.032281
154500,0.096890383
154750,0.152151626
155000,0.143424085
155250,0.063526519
155500,0.095756781
155750,0.143087707
156000,0.026231032
156250,0.094561618
156500,0.029825193
156750,0.110763704
157000,0.052245142
157250,0.11212261
157500,0.067994579
157750,0.019170165
158000,0.06464555
158250,0.07474795
158500,0.116944061
158750,0.039265513
159000,0.071004809
159250,0.033885688
159500,0.087727323
159750,0.109391866
160000,0.024071255
160250,0.091297117
160500,0.059342787
160750,0.071387021
161000,0.173573622
161250,0.11986236
161500,0.095868786
161750,0.052929522
162000,0.139563711
162250,0.102068634
162500,0.108483219
162750,0.067298213
163000,0.121184727
163250,0.027817411
163500,0.039535342
163750,0.07438215
164000,0.079986183
164250,0.092511797
164500,0.096717337
164750,0.076582253
165000,0.048084583
165250,0.082836559
165500,0.056311178
165750,0.07183295
166000,0.074356581
166250,0.109321057
166500,0.060783117
166750,0.114536108
167000,0.044300921
167250,0.061465085
167500,0.105798749
167750,0.083901536
168000,0.038487204
168250,0.076771468
168500,0.074288672
168750,0.075802398
169000,0.133182781
169250,0.093000559
169500,0.04078304
169750,0.154277136
170000,0.095820851
170250,0.068706723
170500,0.093955952
170750,0.071633757
171000,0.090022323
171250,0.071914179
171500,0.082418194
171750,0.067304135
172000,0.068181424
172250,0.084247656
172500,0.035057539
172750,0.057838763
173000,0.108477588
173250,0.08225477
173500,0.078275309
173750,0.053197735
174000,0.12083699
174250,0.134093626
174500,0.12171185
174750,0.088181842
175000,0.049530719
175250,0.027349723
175500,0.128037585
175750,0.093526839
176000,0.106745661
176250,0.065335822
176500,0.118538419
176750,0.043228634
177000,0.037462831
177250,0.058279675
177500,0.030126455
177750,0.098265884
178000,0.063226562
178250,0.062639593
178500,0.098879278
178750,0.085815362
179000,0.069748874
179250,0.091599825
179500,0.07422988
179750,0.127132618
180000,0.020049438
180250,0.084877873
180500,0.067616994
180750,0.044927638
181000,0.100355093
181250,0.055275307
181500,0.069825798
181750,0.065822064
182000,0.09571863
182250,0.054611219
182500,0.151058583
182750,0.059161836
183000,0.052289132
183250,0.067635568
183500,0.041958968
183750,0.093713758
184000,0.022709142
184250,0.08891121
184500,0.095825552
184750,0.022329619
185000,0.081661508
185250,0.109330492
185500,0.090838672
185750,0.119572282
186000,0.027190567
186250,0.067338036
186500,0.038122767
186750,0.076444406
187000,0.027693866
187250,0.078259663
187500,0.085607836
187750,0.075996069
188000,0.081385017
188250,0.064804824
188500,0.067526973
188750,0.147003751
189000,0.091033509
189250,0.0189741
189500,0.085157511
189750,0.108069869
190000,0.042881393
190250,0.066697779
190500,0.106715459
190750,0.158513537
191000,0.045126014
191250,0.066419064
191500,0.029525792
191750,0.076556055
192000,0.121031737
192250,0.087298303
192500,0.096985614
192750,0.106172801
193000,0.024544004
193250,0.139520141
193500,0.035505742
193750,0.038477734
194000,0.086749988
194250,0.026978128
194500,0.048631884
194750,0.09287502
195000,0.067013029
195250,0.087305783
195500,0.026070724
195750,0.036892564
196000,0.134286995
196250,0.106840324
196500,0.093107383
196750,0.07243629
197000,0.050729194
197250,0.089359791
197500,0.146854806
197750,0.103199764
198000,0.107813173
198250,0.061674163
198500,0.098149919
198750,0.133126818
199000,0.021576859
199250,0.075801382
199500,0.084311926
199750,0.032698969
200000,0.067096092
200250,0.106882322
200500,0.083879995
200750,0.072075646
201000,0.145312041
201250,0.083535613
201500,0.082300643
201750,0.078255315
202000,0.064586256
202250,0.08399604
202500,0.057867875
202750,0.057670539
203000,0.06207679
203250,0.087901227
203500,0.045526936
203750,0.021939337
204000,0.056227278
204250,0.030614567
204500,0.10738766
204750,0.14428376
205000,0.107886431
205250,0.084200944
205500,0.05721481
205750,0.104603842
206000,0.090612427
206250,0.025056868
206500,0.078846837
206750,0.080505112
207000,0.072611182
207250,0.064454246
207500,0.041369089
207750,0.057218185
208000,0.068561683
208250,0.060841449
208500,0.076444088
208750,0.109538781
209000,0.203950286
209250,0.09486312
209500,0.075166564
209750,0.106547094
210000,0.077939167
210250,0.029527503
210500,0.092107218
210750,0.084557517
211000,0.141367993
211250,0.062090504
211500,0.137453153
211750,0.057243275
212000,0.053767656
212250,0.109434297
212500,0.155847347
212750,0.040897595
213000,0.119863131
213250,0.049904149
213500,0.092625371
213750,0.035758636
214000,0.052467251
214250,0.096363912
214500,0.134999275
214750,0.141380878
215000,0.103573214
215250,0.081864765
215500,0.074121646
215750,0.056026427
216000,0.052575033
216250,0.08047697
216500,0.072116968
216750,0.084892577
217000,0.097623595
217250,0.107775976
217500,0.042050507
217750,0.016867177
218000,0.028808851
218250,0.054497749
218500,0.057522856
218750,0.051658663
219000,0.013066094
219250,0.094608255
219500,0.048828077
219750,0.122118145
220000,0.106195296
220250,0.113659475
220500,0.009914954
220750,0.049153798
221000,0.126180651
221250,0.053480755
221500,0.066292374
221750,0.111872786
222000,0.127801098
222250,0.062759903
222500,0.115411054
222750,0.108513773
223000,0.136159377
223250,0.054793174
223500,0.02973036
223750,0.086295007
224000,0.089110916
224250,0.085003422
224500,0.051312346
224750,0.06552859
225000,0.027170565
225250,0.040714536
225500,0.037324774
225750,0.046873029
226000,0.066243219
226250,0.130539752
226500,0.106946982
226750,0.112427783
227000,0.047842926
227250,0.03725744
227500,0.117351635
227750,0.090295669
228000,0.101030853
228250,0.085555427
228500,0.05550715
228750,0.066892146
229000,0.194368945
229250,0.034759568
229500,0.049054809
229750,0.082513082
230000,0.043333419
230250,0.072292667
230500,0.062382143
230750,0.052308124
231000,0.076720042
231250,0.081414712
231500,0.068837142
231750,0.043404684
232000,0.054217155
232250,0.096918657
232500,0.124186432
232750,0.064898349
233000,0.077522392
233250,0.096837424
233500,0.081915264
233750,0.055838721
234000,0.085977348
234250,0.141695651
234500,0.060376273
234750,0.087750976
235000,0.026138512
235250,0.022861997
235500,0.048920598
235750,0.082807759
236000,0.111337366
236250,0.075324599
236500,0.045745903
236750,0.036723865
237000,0.069686029
237250,0.05065676
237500,0.063024308
237750,0.086916151
238000,0.0757339
238250,0.103756739
238500,0.033913571
238750,0.107506054
239000,0.108689126
239250,0.070850177
239500,0.043877403
239750,0.124080968
240000,0.105335379
240250,0.071828604
240500,0.062171886
