Trained Samples,Block Average Training Error
88750,0.126157553
89000,0.057737709
89250,0.115551686
89500,0.048844418
89750,0.070562322
90000,0.083030353
90250,0.106517729
90500,0.033296598
90750,0.053088893
91000,0.105642218
91250,0.130107487
91500,0.116087522
91750,0.06533088
92000,0.121016081
92250,0.112537749
92500,0.221589481
92750,0.025909098
93000,0.042795983
93250,0.07229636
93500,0.108004989
93750,0.079569771
94000,0.045019056
94250,0.028452132
94500,0.083858813
94750,0.093610015
95000,0.079820299
95250,0.043644603
95500,0.09515866
95750,0.035812762
96000,0.098846428
96250,0.094815127
96500,0.101480017
96750,0.072451238
97000,0.045908505
97250,0.109303152
97500,0.083742757
97750,0.079442494
98000,0.09176606
98250,0.122597674
98500,0.133955677
98750,0.109422507
99000,0.065322045
99250,0.023937745
99500,0.195114409
99750,0.053245007
100000,0.071215957
100250,0.06618605
100500,0.076240051
100750,0.059520928
101000,0.053497907
101250,0.069844856
101500,0.166333378
101750,0.08311598
102000,0.072747543
102250,0.072386764
102500,0.098145999
102750,0.06112095
103000,0.138683568
103250,0.06584825
103500,0.054366333
103750,0.055437709
104000,0.092301631
104250,0.047896205
104500,0.101736588
104750,0.062595329
105000,0.112905404
105250,0.060604657
105500,0.087263591
105750,0.102498398
106000,0.127083117
106250,0.117387133
106500,0.130145529
106750,0.080712929
107000,0.071025999
107250,0.099326045
107500,0.123194408
107750,0.110094437
108000,0.110159846
108250,0.047065369
108500,0.073710166
108750,0.043341982
109000,0.074965418
109250,0.132042722
109500,0.076153298
109750,0.119711984
110000,0.041831383
110250,0.068051935
110500,0.095409847
110750,0.107044267
111000,0.057907496
111250,0.085076185
111500,0.034090225
111750,0.041650712
112000,0.09217597
112250,0.141422155
112500,0.087790504
112750,0.054680366
113000,0.118607839
113250,0.021876422
113500,0.054542204
113750,0.115085488
114000,0.084718939
114250,0.068598936
114500,0.055289705
114750,0.078729563
115000,0.144058923
115250,0.043240207
115500,0.100424559
115750,0.073165207
116000,0.05151103
116250,0.086003585
116500,0.085790267
116750,0.066326185
117000,0.126143304
117250,0.092977831
117500,0.039761987
117750,0.114808428
118000,0.088658934
118250,0.050412083
118500,0.025307382
118750,0.039119696
119000,0.013146016
119250,0.005836635
119500,0.025955101
119750,0.137090306
120000,0.131152773
120250,0.058208116
120500,0.116135709
120750,0.138458957
121000,0.046176368
121250,0.084937671
121500,0.043297488
121750,0.061178854
122000,0.075018941
122250,0.020271157
122500,0.052683486
122750,0.123928445
123000,0.055416245
123250,0.035423738
123500,0.031738508
123750,0.078639769
124000,0.054740739
124250,0.066920236
124500,0.111275612
124750,0.063839529
125000,0.095856895
125250,0.048660239
125500,0.104031007
125750,0.068080153
126000,0.075683333
126250,0.032156968
126500,0.041327576
126750,0.037521568
127000,0.060575452
127250,0.055746594
127500,0.048733643
127750,0.013189508
128000,0.060722619
128250,0.074658243
128500,0.10119357
128750,0.126113008
129000,0.161823143
129250,0.135673585
129500,0.07616892
129750,0.040212358
130000,0.06637676
130250,0.078816715
130500,0.033200092
130750,0.056936065
131000,0.091176111
131250,0.116677934
131500,0.046775527
131750,0.034895632
132000,0.109790307
132250,0.105102056
132500,0.050038528
132750,0.054364093
133000,0.064206755
133250,0.090891121
133500,0.076286589
133750,0.050440641
134000,0.106370513
134250,0.076791118
134500,0.049806316
134750,0.074397571
135000,0.065045889
135250,0.080748655
135500,0.163547251
135750,0.052199763
136000,0.108756011
136250,0.034665962
136500,0.022471366
136750,0.144094374
137000,0.041436098
137250,0.084016047
137500,0.038417879
137750,0.069256022
138000,0.121661099
138250,0.087840161
138500,0.061103049
138750,0.067474918
139000,0.006440509
139250,0.071851258
139500,0.061934875
139750,0.105230174
140000,0.02915787
140250,0.100962399
140500,0.038092037
140750,0.033033597
141000,0.054797851
141250,0.068941622
141500,0.097225707
141750,0.133182811
142000,0.080423816
142250,0.116732504
142500,0.027810511
142750,0.057622478
143000,0.069244765
143250,0.026038325
143500,0.078572733
143750,0.099330298
144000,0.057243166
144250,0.053465898
144500,0.02919916
144750,0.076056046
145000,0.092032268
145250,0.115045652
145500,0.061899361
145750,0.071260741
146000,0.042968005
146250,0.037919787
146500,0.143687116
146750,0.071122067
147000,0.111311938
147250,0.130764566
147500,0.049911174
147750,0.082457774
148000,0.024193915
148250,0.043713584
148500,0.053512813
148750,0.112448291
149000,0.089435067
149250,0.0995574
149500,0.067912108
149750,0.047133778
150000,0.10582121
150250,0.03852106
150500,0.043386028
150750,0.020035728
151000,0.11423832
151250,0.099015455
151500,0.056657014
151750,0.030762797
152000,0.103321837
152250,0.047250564
152500,0.109345677
152750,0.073099808
153000,0.0458635
153250,0.037352949
153500,0.120931892
153750,0.102412264
154000,0.039724022
154250,0.026323223
154500,0.029441429
154750,0.051701117
155000,0.107061786
155250,0.049017186
155500,0.051514623
155750,0.057028607
156000,0.103924638
156250,0.058844041
156500,0.028600804
156750,0.066632314
157000,0.072039907
157250,0.13016772
157500,0.05691432
157750,0.063698271
158000,0.07421859
158250,0.131027371
158500,0.1411281
158750,0.07614601
159000,0.038583098
159250,0.054812238
159500,0.105974311
159750,0.035503129
160000,0.079053496
160250,0.069544497
160500,0.077684489
160750,0.045563425
161000,0.04505373
161250,0.031586737
161500,0.088497408
161750,0.072474514
162000,0.067730973
162250,0.063386508
162500,0.102831379
162750,0.043350127
163000,0.08182848
163250,0.045786725
163500,0.044351564
163750,0.063855102
164000,0.099166421
164250,0.025675649
164500,0.098859832
164750,0.155927532
165000,0.075282087
165250,0.035604522
165500,0.058480468
165750,0.131638245
166000,0.094736957
166250,0.058395872
166500,0.110370748
166750,0.075531729
167000,0.12521659
167250,0.119943723
167500,0.100241721
167750,0.070223296
168000,0.133773254
168250,0.073337528
168500,0.114821581
168750,0.03662629
169000,0.095189165
169250,0.079137501
169500,0.071771879
169750,0.087289942
170000,0.058003653
170250,0.055858645
170500,0.051506642
170750,0.081225783
171000,0.081711895
171250,0.085277037
171500,0.058081416
171750,0.094100405
172000,0.058656187
172250,0.116215089
172500,0.05600099
172750,0.056085465
173000,0.079676518
173250,0.055859843
173500,0.031532395
173750,0.096953666
174000,0.077911009
174250,0.065968962
174500,0.055537708
174750,0.077721498
175000,0.161369888
175250,0.036760206
175500,0.044423271
175750,0.069545308
176000,0.040741867
176250,0.06233643
176500,0.072852099
176750,0.07531419
177000,0.064806486
177250,0.046335468
177500,0.075686558
177750,0.088679494
178000,0.076296215
178250,0.079584386
178500,0.073333645
178750,0.060495202
179000,0.057953096
179250,0.030566457
179500,0.063583806
179750,0.052513604
180000,0.150830094
180250,0.034030383
180500,0.157314337
180750,0.130333984
181000,0.053823695
181250,0.087945908
181500,0.071764222
181750,0.084216192
182000,0.094475629
182250,0.042847672
182500,0.034793863
182750,0.089630602
183000,0.050410105
183250,0.080036172
183500,0.050936995
183750,0.072730724
184000,0.075005119
184250,0.106796658
184500,0.07629636
184750,0.051583323
185000,0.040346582
185250,0.041061243
185500,0.131773273
185750,0.089113625
186000,0.071739267
186250,0.044473506
186500,0.077009521
186750,0.057025127
187000,0.019999239
187250,0.061109508
187500,0.082677768
187750,0.020056645
188000,0.036490498
188250,0.046898598
188500,0.035657663
188750,0.063084346
189000,0.161937494
189250,0.142923749
189500,0.048245374
189750,0.051223541
190000,0.070593467
190250,0.071792868
190500,0.035559512
190750,0.064134474
191000,0.069900544
191250,0.113208416
191500,0.049396382
191750,0.061926844
192000,0.142211873
192250,0.046339202
192500,0.022574316
192750,0.049862858
193000,0.05559885
193250,0.096280726
193500,0.06474709
193750,0.067906918
194000,0.027904504
194250,0.078755888
194500,0.069256191
194750,0.058766658
195000,0.081145612
195250,0.031432603
195500,0.134202441
195750,0.086597871
196000,0.077083858
196250,0.049607458
196500,0.034437453
196750,0.078105545
197000,0.05600316
197250,0.063672901
197500,0.022394985
197750,0.046243272
